Année,Nationalite,chiffre
1991,UE/AELE,17815
1992,UE/AELE,1833
1993,UE/AELE,1909
1994,UE/AELE,5598
1995,UE/AELE,-1157
1996,UE/AELE,-9647
1997,UE/AELE,-10388
1998,UE/AELE,-5871
1999,UE/AELE,-2705
2000,UE/AELE,2905
2001,UE/AELE,8900
2002,UE/AELE,18049
2003,UE/AELE,20932
2004,UE/AELE,24537
2005,UE/AELE,23795
2006,UE/AELE,27923
2007,UE/AELE,55317
2008,UE/AELE,72145
2009,UE/AELE,49274
2010,UE/AELE,41921
2011,UE/AELE,51676
2012,UE/AELE,56938
2013,UE/AELE,63907
2014,UE/AELE,59433
2015,UE/AELE,49498
2016,UE/AELE,41210
2017,UE/AELE,31827
2018,UE/AELE,29486
2019,UE/AELE,32112
2020,UE/AELE,38827
2021,UE/AELE,37526
2022,UE/AELE,54582
2023,UE/AELE,64238
1991,Etats tiers europe,32124
1992,Etats tiers europe,35558
1993,Etats tiers europe,35693
1994,Etats tiers europe,24802
1995,Etats tiers europe,15944
1996,Etats tiers europe,6318
1997,Etats tiers europe,4428
1998,Etats tiers europe,5084
1999,Etats tiers europe,10405
2000,Etats tiers europe,8820
2001,Etats tiers europe,12691
2002,Etats tiers europe,13392
2003,Etats tiers europe,11557
2004,Etats tiers europe,10397
2005,Etats tiers europe,8768
2006,Etats tiers europe,8815
2007,Etats tiers europe,11436
2008,Etats tiers europe,12207
2009,Etats tiers europe,11509
2010,Etats tiers europe,9792
2011,Etats tiers europe,8037
2012,Etats tiers europe,7178
2013,Etats tiers europe,7797
2014,Etats tiers europe,6504
2015,Etats tiers europe,6495
2016,Etats tiers europe,6009
2017,Etats tiers europe,6574
2018,Etats tiers europe,6774
2019,Etats tiers europe,7189
2020,Etats tiers europe,7112
2021,Etats tiers europe,6250
2022,Etats tiers europe,8079
2023,Etats tiers europe,61078
1991,Etats tiers pas europe,9718
1992,Etats tiers pas europe,8138
1993,Etats tiers pas europe,7317
1994,Etats tiers pas europe,7584
1995,Etats tiers pas europe,6813
1996,Etats tiers pas europe,5739
1997,Etats tiers pas europe,7684
1998,Etats tiers pas europe,8972
1999,Etats tiers pas europe,13197
2000,Etats tiers pas europe,13173
2001,Etats tiers pas europe,21678
2002,Etats tiers pas europe,20056
2003,Etats tiers pas europe,15277
2004,Etats tiers pas europe,12950
2005,Etats tiers pas europe,12093
2006,Etats tiers pas europe,12700
2007,Etats tiers pas europe,16414
2008,Etats tiers pas europe,19011
2009,Etats tiers pas europe,18250
2010,Etats tiers pas europe,17254
2011,Etats tiers pas europe,14057
2012,Etats tiers pas europe,13031
2013,Etats tiers pas europe,17837
2014,Etats tiers pas europe,12605
2015,Etats tiers pas europe,20042
2016,Etats tiers pas europe,30100
2017,Etats tiers pas europe,15584
2018,Etats tiers pas europe,11492
2019,Etats tiers pas europe,11448
2020,Etats tiers pas europe,8144
2021,Etats tiers pas europe,11677
2022,Etats tiers pas europe,15533
2023,Etats tiers pas europe,22435
1991,Etats tiers,41842
1992,Etats tiers,43696
1993,Etats tiers,43010
1994,Etats tiers,32386
1995,Etats tiers,22757
1996,Etats tiers,12057
1997,Etats tiers,12112
1998,Etats tiers,14056
1999,Etats tiers,23602
2000,Etats tiers,21993
2001,Etats tiers,34369
2002,Etats tiers,33448
2003,Etats tiers,26834
2004,Etats tiers,23347
2005,Etats tiers,20861
2006,Etats tiers,21515
2007,Etats tiers,27850
2008,Etats tiers,31218
2009,Etats tiers,29759
2010,Etats tiers,27046
2011,Etats tiers,22094
2012,Etats tiers,20209
2013,Etats tiers,25634
2014,Etats tiers,19109
2015,Etats tiers,26537
2016,Etats tiers,36109
2017,Etats tiers,22158
2018,Etats tiers,18266
2019,Etats tiers,18637
2020,Etats tiers,15256
2021,Etats tiers,17927
2022,Etats tiers,23612
2023,Etats tiers,83513
1991,Total,59657
1992,Total,45529
1993,Total,44919
1994,Total,37984
1995,Total,21600
1996,Total,2410
1997,Total,1724
1998,Total,8185
1999,Total,20897
2000,Total,24898
2001,Total,43269
2002,Total,51497
2003,Total,47766
2004,Total,47884
2005,Total,44656
2006,Total,49438
2007,Total,83167
2008,Total,103363
2009,Total,79033
2010,Total,68967
2011,Total,73770
2012,Total,77147
2013,Total,89541
2014,Total,78542
2015,Total,76035
2016,Total,77319
2017,Total,53985
2018,Total,47752
2019,Total,50749
2020,Total,54083
2021,Total,55453
2022,Total,78194
2023,Total,147751
1991,Total - solde migratoire,61440
1992,Total - solde migratoire,40156
1993,Total - solde migratoire,39513
1994,Total - solde migratoire,30883
1995,Total - solde migratoire,14458
1996,Total - solde migratoire,-5807
1997,Total - solde migratoire,-6834
1998,Total - solde migratoire,1177
1999,Total - solde migratoire,16149
2000,Total - solde migratoire,20224
2001,Total - solde migratoire,41843
2002,Total - solde migratoire,48921
2003,Total - solde migratoire,43027
2004,Total - solde migratoire,40462
2005,Total - solde migratoire,36180
2006,Total - solde migratoire,39368
2007,Total - solde migratoire,75459
2008,Total - solde migratoire,98167
2009,Total - solde migratoire,74587
2010,Total - solde migratoire,64939
2011,Total - solde migratoire,68118
2012,Total - solde migratoire,71127
2013,Total - solde migratoire,87106
2014,Total - solde migratoire,76223
2015,Total - solde migratoire,71884
2016,Total - solde migratoire,71030
2017,Total - solde migratoire,45948
2018,Total - solde migratoire,39860
2019,Total - solde migratoire,43352
2020,Total - solde migratoire,53804
2021,Total - solde migratoire,48871
2022,Total - solde migratoire,68760
2023,Total - solde migratoire,139118
