Property Definition Identifier;Property Label Name;Property Key;Property Language;Property Value;Property List Item Identifier
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;;ad135ff0-fd4f-4fc8-8e82-62b39d88bf2d
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;;ec1e8dfb-35ef-4c71-a239-3ebe61114fed
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;;f314f092-9348-413c-b79a-8a8370e17cf7
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : gelatine silver print;c5687446-5295-44f2-ae56-135cfd965fa7
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Original print;7596ff85-544a-4bbe-bb7e-f80235aa8e2d
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Original print : aquatinta, mounted on cardboard;8b307f11-a008-4188-b539-124c59a6d2d9
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : glass-plate positive;4b375002-6c9a-4869-baa8-ea5484d652e4
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Original print : etching;a987ffd2-edfb-424c-88d3-4a8751426055
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : paper print, mounted on paper;093bc820-3598-4074-9112-c6462b2e3e85
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Print;fc246636-9f03-4f27-9e03-f58475b1f416
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Postcard;03f0597d-ebb1-4df4-a4d2-715a213eae8e
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Original print : woodcut;b46aa9d8-956a-4607-92a3-9d60b637e81e
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : glass-plate positive;77ef372b-3e13-4c4d-8b67-fa249ad686b3
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : paper print, stereo, mounted on cardboard;4ec1f0b8-a9cc-48e4-878c-343798b46840
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : paper print, mounted on cardboard;2cb2c256-005a-4b2a-ac7a-5f6470cb9d2c
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : gelatine silver print, mounted on cardboard;8495dfe0-e000-4fcf-851a-1f82edf53c64
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Print : collotype;d4dd1843-5719-484f-bc40-6e8639962c00
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : albumen print, mounted on cardboard;3e84831d-c11d-4e70-979e-7d677521f2a4
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : salted paper print;7b96fbfa-61d0-4998-a321-3c340f5807ee
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Reproduction photography : glass-plate positive;46a53b54-4dad-48f1-9c58-8af3b875082e
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : negative;c1c1e9f0-6f1f-4867-8a46-8971ea267873
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : gelatine silver print, stereo, mounted on cardbord;45f67ab3-abaa-414a-bf98-d1e457ac615e
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : diapositive;2ba8c726-f201-42db-ae41-c2199fb21bd2
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Print : photochrom, mounted on cardboard;60efe1b1-e9aa-402a-ad84-8cd1f364ead4
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : internegative;7e836e35-89fd-41e9-a00e-c95c1ff042c3
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Reproduction photography : glass-plate negative;83b83b0d-a98d-4ea3-955c-c9ab100fedc4
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Digital photography : file;1f1f7d90-56c1-4fee-aa1c-cb1004fc7079
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : silver bromide print, mounted on cardbord;45031175-42e6-4c1a-9bf1-fecac51a7a97
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Print : collotype, mounted on cardboard;424c3f1e-f169-422e-b906-be4b0827019d
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : cyanotype;51f2444e-0eda-4d85-941e-ee75f69db94c
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : gelatine silver print, mounted on paper;4b44324e-4649-4a17-b8bd-9028871d96a1
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : albumen print, mounted on paper;6134aa66-ad79-4159-8947-e9832ed0e5fb
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : albumen print;b18a78fa-6e7f-4335-9983-3a70e43e101d
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : nitrate-negative;18189f85-c552-492c-8c09-9b81f6b93e8f
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Reproduction photography : negative;cad3da1a-bbca-40b9-8ee9-2cf8180ced8a
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Reproduction photography : transparency positive;fdfb9b98-f448-4868-9d5b-964a0d092b85
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : infrared;f25e8e3f-c5c5-4a9d-9dbf-486c1f344030
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : gelatine silver print, stereo;57483fc1-3b87-4b91-98b0-55e873a48e8a
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : silver bromide print;9645fc47-fda6-42bc-b88c-46241a7182da
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Original print : copper engraving;b4feceb7-4acf-4799-ad55-51453e7e6c67
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Reproduction photography : albumen print, mounted on cardboard;f3b83387-0114-4b36-9980-036a07942e74
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : collodium print, mounted on cardboard;129e6921-8cb8-4e02-bf82-9ff60bcec791
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Reproduction photography : paper print, mounted on cardboard;467a917d-1792-4216-9437-f7db983e865d
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Original print : wood engraving;78923d44-fb01-470d-a7b8-a338b12bb98f
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Catalog card;b2f24732-1dac-455c-8789-55c23691809f
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Album;88c33049-c403-49e9-8c67-95215d88a453
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : glass-plate positive, stereo;44696e7d-4c4f-44fd-8cef-08098cbe562f
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Drawing;ce3bcf75-01c5-4093-8fb7-8ded59f13f9d
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Other;eth_other
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Digital photography;eth_digital_photography
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Original print : copper engraving, mounted on cardboard;eth_original_print_copper_cardboard
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Original print : lithograph;eth_original_print_lithograph
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Original print : lithograph, mounted on cardboard;eth_original_print_lithograph_cardboard
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : cyanotype, mounted on cardboard;eth_photography_cyanotype_cardboard
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : paper print;eth_photography_paper_print
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : paper print, platinotype;eth_photography_paper_print_platinotype
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : paper print, platinotype, mounted on cardboard;eth_photography_paper_print_cardboard
eth_physical_description;Physical description;"Physical description (eth_physical_description;en)";en;Photography : salted paper print, mounted on cardboard;eth_photography_salted_paper_cardboard
