Entity Identifier;EntityType Identifier;Categories;File name (file_name);Image stock number (eth_image_stock_number);Photographer (eth_photographer);"Title (title;en)";"Description (description;en)";Dating (eth_dating);"Is part of (eth_is_part_of;en)";Impressum (eth_imprint);"Physical description (eth_physical_description;en)";"Dimension (eth_dimension;en)";Special size (eth_special_dimensions);"Orientation (eth_form;en)";"Colour (eth_colour;en)";DOI Link (eth_doi_link);License (eth_license);"Availabilty (eth_availability;en)";"Copyright notice (eth_copyright_notice;en)";"Comments (eth_comments;en)"
38c01835-d86a-4a7b-9a42-f3aa0c83f97c;AssetSet;d54223df-d85d-4b78-bc22-77f898f719b3, bf8854cf-327e-471d-a270-2af6c26d2a9a, 3742b87e-fa0c-47a2-a95b-8bea54e1ac8a, 36c5613e-aa5a-4173-962d-796f0df8cf68, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, a0f54f53-a526-41aa-8637-2ca452d9a41b, 7cdd32c8-e5d8-486f-9b6c-654ac0aad52e, 33e35255-026a-406c-9ef1-a5e68c6ae47e, 5f58b7d9-4e65-4f8c-b3ec-4d074bcc4070, d32bbc1f-6931-4e22-8508-293b91bf8aaa, 14709f32-a727-4799-b324-b28d66e34913, e334a879-6648-4907-9ad6-a86d3d587f94, 1e7af920-b2cb-4feb-8b49-567c17a5da1f, 351ae059-5dcf-4d9f-9f1d-353ff767d8dc, fe49158e-498e-479b-a695-36e2bf25e182, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, 190034d4-940d-4004-89a6-5d9f6a8a5496, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR01-02104.tif;2104;Swissair, Fotograf;Study of the engine of a De Havilland DH-89 Dragon Rapide in the Swissair commercial pilot course in Dübendorf;Pilot training: meteo and radio. On January 4, 1943, Swissair started a commercial pilot course with the following participants, all of whom later successfully completed the course: Hellmuth Erni (1917-1999), Kurt Herzog (1918-), Ferdi Länzlinger (1916-2003), Walo Ris (1915-1970), Ruedi Schärer (1913-?), Ferdi Schmid (1916-2003), Guy Steiner (1917-1993).;04.01.1943;Traffic pilot course, pilot training, meteo, radio, 1943. Reportage with 72 pictures (selection digitized, no additional motifs available).;;Photography : nitrate-negative;6 x 6 cm;;Square;black and white;http://doi.org/10.3932/ethz-a-000222922;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR01-02104;
4f98b5b7-789f-439a-8348-af59619ba35a;AssetSet;d54223df-d85d-4b78-bc22-77f898f719b3, f2939c2a-3d80-4131-ac43-2d32325703de, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, d32bbc1f-6931-4e22-8508-293b91bf8aaa, 847a6626-e8c9-44fe-bc16-78ae9b00c02c, c66e9fb7-938e-4388-9306-c1f438a09a71, 351ae059-5dcf-4d9f-9f1d-353ff767d8dc, efd10ee1-2db8-4030-b6ef-2605b3dac687, bf8854cf-327e-471d-a270-2af6c26d2a9a, 5f58b7d9-4e65-4f8c-b3ec-4d074bcc4070, fe49158e-498e-479b-a695-36e2bf25e182, d867e68a-38ac-4042-8a15-6cf4ed434dbe, 3742b87e-fa0c-47a2-a95b-8bea54e1ac8a, 14709f32-a727-4799-b324-b28d66e34913, ea96ec4f-3f39-4fa4-aa2c-a8395b392213, e334a879-6648-4907-9ad6-a86d3d587f94, af7806e9-a81c-4374-938d-49d920dfe70d, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR01-02910.tif;2910;Swissair, Fotograf;Passengers disembarking from a Douglas DC-3 of Sabena in Dübendorf;;ca. 1945;;;Photography : nitrate-negative;6 x 6 cm;;Square;black and white;http://doi.org/10.3932/ethz-a-000224808;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR01-02910;
a849fc73-08ff-4f90-b1eb-89fe71896bb2;AssetSet;fe49158e-498e-479b-a695-36e2bf25e182, 05a01383-41e1-4c07-9e45-dbe5eb5bab35, 36c5613e-aa5a-4173-962d-796f0df8cf68, 863d5565-bfc6-44a2-a84e-021f47583fd9, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, 41feb4b8-55db-4665-8455-927f734544f3, 351ae059-5dcf-4d9f-9f1d-353ff767d8dc, 5f58b7d9-4e65-4f8c-b3ec-4d074bcc4070, c28753b7-b185-4fc9-8195-d38556a4bba9, 51ac28e8-124f-48a0-8b21-098fecc24ea6, 33e35255-026a-406c-9ef1-a5e68c6ae47e, ea96ec4f-3f39-4fa4-aa2c-a8395b392213, d32bbc1f-6931-4e22-8508-293b91bf8aaa, bf8854cf-327e-471d-a270-2af6c26d2a9a, 14709f32-a727-4799-b324-b28d66e34913, e334a879-6648-4907-9ad6-a86d3d587f94, 74442aec-19cf-42bb-b14f-3ad53dfbc7f3, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, 11fee652-bcdf-4563-b0ce-a2a0ac518bcc, 13259ed2-0be4-47db-bc42-50db1641398e, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR01-03079.tif;3079;Swissair, Fotograf;Douglas DC-3-227A HB-IRO and Douglas DC-3-216 HB-IRA on the ground in Dübendorf;In the background: buildings of the military airfield. The loaded HB-IRO is ready for takeoff;25.04.1946;;;Photography : nitrate-negative;6 x 6 cm;;Square;black and white;http://doi.org/10.3932/ethz-a-000225021;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR01-03079;Werner Liechti: Swissair operated a special flight Dübendorf via Brindisi to Athens on 25.04.1946. The air waybill and the cargo manifest (image LBS_SR01-03090) confirm that the aircraft was the DC-3 HB-IRO and that it was primarily a diplomatic shipment from the Swiss Vaccine Institute. Transported were 25 boxes of vaccine against foot and mouth disease, plus 2 boxes of cameras and a package of mail. Source for the flight date: Swiss Airmail Handbook (Swiss Aerophilatelists Association SAV). 2nd dating for all images:25.04.1946. : The Douglas DC-3-227A HB-IRO (front) and the Douglas DC-3-216 HB-IRA on the ground at Dübendorf, in the background the buildings of the military airfield. Description: The loaded HB-IRO is ready for takeoff.
e52080e6-c466-48d3-9b5c-2d49a5c28cae;AssetSet;f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, d32bbc1f-6931-4e22-8508-293b91bf8aaa, 33e35255-026a-406c-9ef1-a5e68c6ae47e, ea96ec4f-3f39-4fa4-aa2c-a8395b392213, a15e2d4d-0dd4-4b16-b4bf-dde8f2bf015c, ec7c9000-f7f5-4485-a16e-107fd4ede087, c419b336-4719-4555-ace4-b35f2b51e19c, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, e334a879-6648-4907-9ad6-a86d3d587f94, 14c829c5-b039-4a10-aa67-45bbdcf48fc4, 14709f32-a727-4799-b324-b28d66e34913, 5e057f1b-962e-4d2a-b74c-1808280d8ced, 863d5565-bfc6-44a2-a84e-021f47583fd9, 36c5613e-aa5a-4173-962d-796f0df8cf68, fe49158e-498e-479b-a695-36e2bf25e182, d54223df-d85d-4b78-bc22-77f898f719b3, bf8854cf-327e-471d-a270-2af6c26d2a9a, e5baca8b-6971-4d35-9ca0-6c96795a74fe, a69f107f-c0a3-4402-b018-84a21da73790, 3742b87e-fa0c-47a2-a95b-8bea54e1ac8a, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR01-03350.tif;3350;Swissair, Fotograf;Douglas C-47 B-5-DK DC-3 Freighter, HB-IRD on the ground in Basel-Mulhouse;"Radio reporter Werner Hausmann from the Basel radio studio (l. with microphone) interviews a pilot at the Basel-Mulhouse airfield about the night mail flight with a DC-3 to Amsterdam. The airport ""Basel-Mulhouse"" was opened on May 8, 1946 in Blotzheim (F). In just six weeks, a temporary runway 1200 meters long and 40 meters wide was built of perforated steel plate. France provided the site, Switzerland the hangar and the barracks";1946-1948;Night mail route Basel - Amsterdam with C-47B HB-IRD (Swissair freighter), 1946-1948. Report with 37 pictures (selection digitized, no additional motifs available);;Photography : nitrate-negative;6 x 6 cm;;Square;black and white;http://doi.org/10.3932/ethz-a-000225295;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR01-03350;
302fc9d9-da98-4f43-92e2-a879f94f788e;AssetSet;b9820a39-b916-44d3-b0c9-18bb9e337a56, bf8854cf-327e-471d-a270-2af6c26d2a9a, 14709f32-a727-4799-b324-b28d66e34913, 86878cfe-c003-4af0-8340-aa0e83f0211c, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, e334a879-6648-4907-9ad6-a86d3d587f94, d32bbc1f-6931-4e22-8508-293b91bf8aaa, 676b5263-2ce1-4c5a-9615-a338ce87175e, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, d54223df-d85d-4b78-bc22-77f898f719b3, 33e35255-026a-406c-9ef1-a5e68c6ae47e, a0f54f53-a526-41aa-8637-2ca452d9a41b, 2532d151-864c-4c93-8af7-c8da8e6a5cd6, 190034d4-940d-4004-89a6-5d9f6a8a5496, 5f58b7d9-4e65-4f8c-b3ec-4d074bcc4070, 351ae059-5dcf-4d9f-9f1d-353ff767d8dc, 0df7759d-bc4f-404d-9985-6a2b9b4ad472, fe49158e-498e-479b-a695-36e2bf25e182, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR01-03412.tif;3412;Swissair, Fotograf;Engine knowledge in the Swissair hostess course in the shipyard at the airfield in Dübendorf;By the engine stands the instructor;ca. 1948;;;Photography : nitrate-negative;6 x 6 cm;;Square;black and white;http://doi.org/10.3932/ethz-a-000225352;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR01-03412;
9a1d6f09-9a24-4cb0-8b06-12580f0871a2;AssetSet;99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, 33e35255-026a-406c-9ef1-a5e68c6ae47e, 61e2cb6c-4bd6-487e-93d5-2506337cb787, 11fee652-bcdf-4563-b0ce-a2a0ac518bcc, a0f54f53-a526-41aa-8637-2ca452d9a41b, 5f58b7d9-4e65-4f8c-b3ec-4d074bcc4070, d54223df-d85d-4b78-bc22-77f898f719b3, d32bbc1f-6931-4e22-8508-293b91bf8aaa, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, e334a879-6648-4907-9ad6-a86d3d587f94, bf6b1eae-50fb-4bb5-9e3a-2244f7b09733, 40ef58d0-7ae6-4f44-87da-eb207955b9fa, 351ae059-5dcf-4d9f-9f1d-353ff767d8dc, 7cf37678-8408-4640-be2d-482e9e40159b, fe49158e-498e-479b-a695-36e2bf25e182, bf8854cf-327e-471d-a270-2af6c26d2a9a, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR01-03460.tif;3460;Swissair, Fotograf;Swissair mechanic with airplane wheel;;ca. 1946;;;Photography : nitrate-negative;6 x 6 cm;;Square;black and white;http://doi.org/10.3932/ethz-a-000225384;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR01-03460;
d5a2b1c8-3a66-4dc4-a25e-530d3b94e569;AssetSet;33e35255-026a-406c-9ef1-a5e68c6ae47e, 863d5565-bfc6-44a2-a84e-021f47583fd9, 8476101a-f158-4759-961d-0905f141dd57, 36c5613e-aa5a-4173-962d-796f0df8cf68, 35474658-7f4e-4e48-8dc6-81942bc97688, f0734acf-748c-4445-8364-efd2908da4a0, 4696d908-1794-4451-8d4c-8116dcdaa70a, bf8854cf-327e-471d-a270-2af6c26d2a9a, 0f59037b-39ff-4fb6-ab7c-22e4dca46747, e334a879-6648-4907-9ad6-a86d3d587f94, ec7c9000-f7f5-4485-a16e-107fd4ede087, b905eb23-9ee8-46bd-a194-30715b2b658c, 14709f32-a727-4799-b324-b28d66e34913, 640731e5-d54a-44ca-a25b-8cbc4b603e66, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, ea96ec4f-3f39-4fa4-aa2c-a8395b392213, 3742b87e-fa0c-47a2-a95b-8bea54e1ac8a, 41feb4b8-55db-4665-8455-927f734544f3, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, c66e9fb7-938e-4388-9306-c1f438a09a71, 2a10c466-2cd5-4055-a85b-b7b8b45bc100, fe49158e-498e-479b-a695-36e2bf25e182, d32bbc1f-6931-4e22-8508-293b91bf8aaa, 5e057f1b-962e-4d2a-b74c-1808280d8ced, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR01-03706.tif;3706;Swissair, Fotograf;Engines of a Swissair Douglas DC-4 in Geneva-Cointrin;;1947-1948;;;Photography : nitrate-negative;6 x 6 cm;;Square;black and white;http://doi.org/10.3932/ethz-a-000225756;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR01-03706;
c950b48b-c00e-46f0-bc86-db4915947f03;AssetSet;3742b87e-fa0c-47a2-a95b-8bea54e1ac8a, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, a0f54f53-a526-41aa-8637-2ca452d9a41b, b9820a39-b916-44d3-b0c9-18bb9e337a56, 33e35255-026a-406c-9ef1-a5e68c6ae47e, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, 2532d151-864c-4c93-8af7-c8da8e6a5cd6, e334a879-6648-4907-9ad6-a86d3d587f94, d54223df-d85d-4b78-bc22-77f898f719b3, a6641084-0dbb-421b-a1bd-2d4afe6a349c, bf8854cf-327e-471d-a270-2af6c26d2a9a, 8f60a9fb-78ea-477b-8b87-a624be80f28d, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR01-04029.tif;4029;Swissair, Fotograf;Swissair hostess and employee smoking;;ca. 1950;;;Photography : nitrate-negative;6 x 6 cm;;Square;black and white;http://doi.org/10.3932/ethz-a-000226040;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR01-04029;
4aee4ca2-1a99-4f93-a4db-0f0c7ab2c327;AssetSet;863d5565-bfc6-44a2-a84e-021f47583fd9, bfc64c42-a80a-4ca5-83c6-b6d81b4347f1, 351ae059-5dcf-4d9f-9f1d-353ff767d8dc, 4b74515e-9221-4cd6-a215-e32cbe1e456d, e334a879-6648-4907-9ad6-a86d3d587f94, 14709f32-a727-4799-b324-b28d66e34913, d32bbc1f-6931-4e22-8508-293b91bf8aaa, fe49158e-498e-479b-a695-36e2bf25e182, d54223df-d85d-4b78-bc22-77f898f719b3, 5f58b7d9-4e65-4f8c-b3ec-4d074bcc4070, bf8854cf-327e-471d-a270-2af6c26d2a9a, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, ea96ec4f-3f39-4fa4-aa2c-a8395b392213, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, a0f54f53-a526-41aa-8637-2ca452d9a41b, 36c5613e-aa5a-4173-962d-796f0df8cf68, b9fd2ff1-b04e-42b7-ac8b-3416dbad7776, 51ac28e8-124f-48a0-8b21-098fecc24ea6, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR01-04073.tif;4073;Swissair, Fotograf;Young onlookers at the airfield in Dübendorf;;ca. 1947;;;Photography : nitrate-negative;6 x 6 cm;;Square;black and white;http://doi.org/10.3932/ethz-a-000226082;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR01-04073;
98c0109e-80f3-431c-8619-be3d7e48e881;AssetSet;d32bbc1f-6931-4e22-8508-293b91bf8aaa, b897d367-329d-4437-8bd4-619b8575f47c, 190034d4-940d-4004-89a6-5d9f6a8a5496, 36c5613e-aa5a-4173-962d-796f0df8cf68, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, 1e7af920-b2cb-4feb-8b49-567c17a5da1f, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, d54223df-d85d-4b78-bc22-77f898f719b3, a0f54f53-a526-41aa-8637-2ca452d9a41b, e334a879-6648-4907-9ad6-a86d3d587f94, bf8854cf-327e-471d-a270-2af6c26d2a9a, 33e35255-026a-406c-9ef1-a5e68c6ae47e, f2939c2a-3d80-4131-ac43-2d32325703de, 5f58b7d9-4e65-4f8c-b3ec-4d074bcc4070, ea96ec4f-3f39-4fa4-aa2c-a8395b392213, 351ae059-5dcf-4d9f-9f1d-353ff767d8dc, fe49158e-498e-479b-a695-36e2bf25e182, 0a96243f-eee3-4184-9fde-4ca8134989b7, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR01-04119.tif;4119;Swissair, Fotograf;Pilot course in the shadow of a Swissair Douglas DC-3 wing;Pilot training with course start on 01.09.1946;1946;Pilot training, 1946. Reportage with approx. 10 pictures (selection digitized, no additional motifs available).;;Photography : nitrate-negative;6 x 6 cm;;Square;black and white;http://doi.org/10.3932/ethz-a-000226127;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR01-04119;
