funnyScore,family,girlfriend,profanity,typos,homeless,drugRelated,parsed
8,false,false,true,false,false,false,true
3,false,false,false,false,false,false,true
7,false,false,false,true,false,false,true
8,false,false,false,true,false,false,true
6,false,false,false,false,false,false,true
7,false,false,false,true,false,false,true
8,false,false,false,true,false,false,true
4,false,false,false,true,false,false,true
4,false,false,false,false,false,false,true
7,true,false,false,true,false,false,true
9,false,false,false,true,false,false,true
5,false,false,false,false,false,false,true
8,false,false,false,false,false,false,true
6,false,false,false,false,false,false,true
4,false,false,false,true,false,false,true
3,false,false,false,false,false,false,true
7,false,false,false,false,false,false,true
7,false,false,false,true,false,false,true
8,true,false,false,true,false,false,true
6,false,false,false,false,false,false,true
8,true,false,false,false,false,false,true
8,false,false,false,true,false,false,true
3,false,false,false,false,false,false,true
8,false,false,false,true,true,false,true
8,false,false,false,true,false,false,true
8,false,false,false,true,false,false,true
3,false,false,false,true,false,false,true
8,false,false,false,true,false,false,true
7,false,false,false,false,false,false,true
8,false,false,false,true,false,false,true
8,false,false,false,false,false,false,true
8,false,false,false,true,false,false,true
8,false,false,false,true,false,false,true
5,false,false,false,false,false,false,true
6,false,false,false,true,false,false,true
7,false,false,false,true,false,false,true
8,false,false,false,true,false,false,true
1,false,false,false,false,false,false,true
3,false,false,false,false,false,false,true
8,false,false,false,true,false,false,true
8,false,false,false,true,false,false,true
8,false,false,false,true,false,false,true
3,false,true,false,false,false,false,true
3,false,false,false,false,false,false,true
5,false,false,false,false,false,false,true
5,false,false,false,true,false,false,true
7,false,false,false,true,false,false,true
7,false,false,false,true,false,false,true
8,true,false,false,true,false,false,true
8,false,false,false,false,false,false,true
8,false,false,false,true,false,false,true
8,false,false,false,false,false,false,true
7,false,false,false,false,false,false,true
4,false,false,false,false,false,false,true
1,false,false,false,false,false,false,true
8,false,false,false,true,false,false,true
8,true,false,false,true,false,false,true
3,false,false,false,false,false,false,true
8,false,false,false,true,false,false,true
4,false,false,false,false,false,false,true
8,false,false,false,true,false,false,true
8,true,false,false,true,false,false,true
7,false,false,false,true,false,false,true
6,false,false,false,false,false,false,true
7,false,false,false,false,false,false,true
8,false,false,false,false,false,false,true
8,false,false,false,true,false,false,true
6,false,false,false,true,false,false,true
6,false,false,false,false,false,false,true
7,true,false,false,false,false,false,true
8,false,false,false,true,false,false,true
4,false,false,false,true,false,false,true
5,false,false,false,false,false,false,true
6,false,false,false,false,false,false,true
8,false,false,false,true,false,false,true
7,false,false,false,true,false,false,true
1,false,false,false,false,false,false,true
1,false,false,false,false,false,false,true
3,false,false,false,false,false,false,true
8,false,false,false,false,false,false,true
6,false,false,false,false,false,false,true
3,false,false,false,false,false,false,true
6,false,false,true,false,false,false,true
3,false,false,false,false,false,false,true
3,false,false,false,false,false,false,true
7,false,false,false,false,false,false,true
8,true,false,false,true,false,false,true
8,false,false,false,false,false,false,true
7,false,false,false,true,false,false,true
6,false,false,false,false,false,false,true
7,false,false,false,true,false,false,true
8,false,false,false,true,false,false,true
4,false,false,false,false,false,false,true
3,false,false,false,false,false,false,true
8,false,false,false,false,false,false,true
8,false,false,false,true,false,false,true
8,false,false,false,true,false,false,true
7,false,false,false,true,false,false,true
7,false,false,false,false,false,false,true
4,false,false,false,false,false,false,true
4,true,false,false,true,false,false,true
3,false,false,false,false,false,false,true
8,false,false,false,false,false,false,true
6,false,false,false,true,false,false,true
3,false,false,false,false,false,false,true
6,false,false,false,false,false,false,true
8,true,false,false,false,false,false,true
7,false,false,false,true,false,false,true
8,false,false,false,false,false,false,true
7,false,false,false,true,false,false,true
7,false,false,false,true,false,false,true
3,false,false,false,false,false,false,true
8,false,false,false,false,false,false,true
4,false,false,false,true,false,false,true
8,false,false,false,true,false,false,true
3,false,false,false,false,false,false,true
6,false,false,false,false,false,false,true
8,false,false,false,true,false,false,true
8,true,false,false,false,false,false,true
5,false,false,false,false,false,false,true
5,false,false,false,true,false,false,true
8,false,false,false,true,false,false,true
1,false,false,false,false,false,false,true
6,false,false,false,false,false,false,true
4,false,false,false,false,false,false,true
7,false,false,false,true,false,false,true
8,true,false,false,true,false,false,true
6,false,false,false,false,false,false,true
3,false,false,false,false,false,false,true
4,false,false,false,false,false,false,true
7,false,false,false,true,false,false,true
7,true,false,false,false,false,false,true
4,false,false,false,false,false,false,true
7,false,false,false,true,false,false,true
9,false,false,false,true,false,false,true
3,false,false,false,false,false,false,true
7,false,false,false,true,false,false,true
8,false,false,false,true,false,false,true
