title,date,name,role,img,party
“Oreiller de paresse” : la sortie de Parmelin qui fâche,20 avril 2020,Guy Parmelin,Conseiller fédéral,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fguy_parmelin_1_428b61b181.jpg&w=3840&q=75,UDC - VD
"“Profitons, il fait chaud”: Rösti banalise le réchauffement climatique",16 août 2019,Albert Rösti,Conseiller National et Président de l'UDC Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FRoesti2_9264af73f0.png&w=3840&q=75,UDC - BE
«Aarau ou Ankara?»: une affiche qui stigmatise,08 novembre 2007,Andreas Glarner,Député au Grand Conseil,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
Accusation de complicité de génocide : Ignazio Cassis devant la CPI ?,03 février 2026,Ignazio Cassis,Ministre des affaires étrangères,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FIgnazio_Cassis_49a70b59a9.png&w=3840&q=75,PLR - TI
Addor approuve le tweet d'un média d'extrême droite parlant de rémigration ,08 février 2025,Jean-Luc Addor,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FJean_Luc_Addor_a8cb33f684.jpg&w=3840&q=75,UDC - VS
Affaire Hildebrand : Hermann Lei (UDC) condamné pour complicité de violation du secret bancaire,13 avril 2016,Hermann Lei,Membre,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FHermann_Lei_c77ed808cd.png&w=3840&q=75,UDC - TG
Affiches et propos homophobes de l'UDC genevoise,06 mai 2007,UDC Genève,Parti cantonal,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FLogo_UDC_GE_CH_200_44934ef952.png&w=3840&q=75,UDC - GE
Alfred Heer appelle le Conseil fédéral à ne plus communiquer sur les conflits au Moyen-Orient,27 juin 2025,Alfred Heer,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FAlfred_Heer_33ac060d26.png&w=3840&q=75,UDC - ZH
Alfred Heer associe des manifestants pro-palestiniens à des sympathisants du terrorisme et du Hamas,10 juin 2025,Alfred Heer,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FAlfred_Heer_33ac060d26.png&w=3840&q=75,UDC - ZH
Alfred Heer associe la SRF à une chaîne de propagande du Hamas,11 juin 2025,Alfred Heer,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FAlfred_Heer_33ac060d26.png&w=3840&q=75,UDC - ZH
Alfred Heer criminalise par principe l'ensemble des requérants d'asile tunisiens,15 septembre 2012,Alfred Heer,Conseiller National,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FAlfred_Heer_33ac060d26.png&w=3840&q=75,UDC - ZH
Alfred Schwartz : un juge UDC reconnu coupable de violations de devoirs de fonction,04 décembre 2003,Alfred Schwartz,Membre,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FAlfred_Schwartz_349f9516de.png&w=3840&q=75,UDC - AG
Andreas Glarner affiche les prénoms à consonances étrangères des apprentis,20 juillet 2020,Andreas Glarner,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
Andreas Glarner associe l'asile à une gigantesque escroquerie,24 décembre 2025,Andreas Glarner,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
Andreas Glarner crée une vidéo deepfake d'une adversaire votant pour lui,16 octobre 2023,Andreas Glarner,Conseiller National,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
Andreas Glarner demande l’interdiction des binationaux sous la coupole fédérale,03 octobre 2020,Andreas Glarner,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
Andreas Glarner doit accepter le terme « extrémiste de droite Gaga »,25 mars 2025,Andreas Glarner,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
Andreas Glarner fait un tweet islamophobe après une attaque au couteau en Allemagne,03 juin 2024,Andreas Glarner,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
Andreas Glarner fait une blague de mauvais goût sur les burnouts au sein du PS,19 décembre 2025,Andreas Glarner,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
Andreas Glarner parle d'invasion d'immigrants et d'effondrement du pays,02 avril 2023,Andreas Glarner,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
Andreas Glarner publie un nouveau tweet islamophobe,26 mars 2023,Andreas Glarner,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
Andreas Glarner publie un texte déshumanisant et dégoulinant de racisme,11 avril 2025,Andreas Glarner,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
Andreas Glarner rejette l’interdiction des symboles nazis,27 juillet 2025,Andreas Glarner,Conseiller National,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
 Andreas Glarner s’en prend à la conseillère nationale verte Sibel Arslan,22 septembre 2020,Andreas Glarner,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
Andreas Glarner souhaite à nouveau interdire le mouvement antifa,13 octobre 2025,Andreas Glarner,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
Andreas Glarner tient des propos sexistes et transphobes dans un podcast,19 mars 2025,Andreas Glarner,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
"Andreas Glarner veut interdire ou classer comme terroriste le groupe ""Antifa"" ",04 juin 2020,Andreas Glarner,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
Anian Liebrand : Entre théorie du complot et haine des musulmans,20 juillet 2025,Anian Liebrand,Directeur général du comité d'Egerkinger,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FAnian_Liebrand_59e4b1158b.png&w=3840&q=75,UDF - LU
Anian Liebrand s'affiche avec un idéologue antisémite allemand,07 mai 2014,Anian Liebrand,Président des Jeunes UDC,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FAnian_Liebrand_59e4b1158b.png&w=3840&q=75,UDF - LU
